,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
1449,3,13600000,New Property,Ready To Move,Broker,No, Kannamangala,1756
1450,4+,122000000,Resale,Ready To Move,Broker,No, Bellary Road,10000
1451,3,17000000,New Property,Ready To Move,Broker,No, Chikkajala,1599
1452,4,71000000,Resale,Ready To Move,Broker,No, Whitefield,6500
1453,2,5362000,Resale,Ready To Move,Broker,No, Electronic City Phase II,1135
1454,4+,48000000,New Property,Ready To Move,Broker,No, Kanakapura Road,3607
1455,4,11500000,New Property,Ready To Move,Broker,No, Hoskote,2300
1456,3,14000000,New Property,Ready To Move,Broker,No, KR Puram,1365
1457,2,8056000,New Property,Ready To Move,Broker,No, Bellandur,1230
1458,3,7429000,New Property,Ready To Move,Broker,No, Sarjapur Bagalur Road,1244
1459,2,10600000,New Property,Ready To Move,Broker,No, Gunjur,1420
1460,2,7200000,New Property,Ready To Move,Broker,No, Horamavu,1000
1461,3,10600000,New Property,Ready To Move,Broker,No, Bellandur,1630
1462,2,6650000,New Property,Ready To Move,Broker,No, Choodasandra,950
1463,2,9889000,New Property,Ready To Move,Broker,No, Yelahanka,1276
1464,2,8093000,New Property,Ready To Move,Broker,No, Haralur Road,1140
1465,3,9900000,New Property,Ready To Move,Broker,No, Kanakapura Road,1106
1466,2,6583000,New Property,Ready To Move,Broker,No, Thanisandra Ma,1197
1467,3,12000000,New Property,Ready To Move,Broker,No, Akshayanagar,1355
